from	to
682661	7389608
7802149	8930395
3751644	4320693
10304086	5154274
1777805	7126023
1654930	5154274
1654930	2956066
205147	7328782
7362261	7362261
9369590	5330223
10360015	4121305
10360015	4663377
3236215	5154274
8100895	2099607
8523015	213615
1601580	7387369
1601580	7806129
4984066	3214872
4984066	562769
11264858	4663377
11264858	11264858
7896849	5652313
6728973	4297035
6728973	7126023
5427239	826983
5427239	7117003
10040141	826970
1777805	5131287
10293495	7896849
10293495	7483494
6705122	6729010
11352300	11352300
456654	11192099
7560008	423926
7156572	4297035
6002424	2956066
9301213	5154274
4516640	147019
4516640	8625500
5713713	5713713
8201676	7137636
3449534	2956066
3449534	7483494
6152687	6152687
5036521	5036521
6417245	349130
3521339	6347629
11263538	7483494
298206	7932273
6802252	3574081
1162647	124091
4794308	5709722
4794308	4137497
9177422	10014769
11233481	558254
6354442	5974433
6354442	3901871
8767500	8328970
8767500	5974433
8767500	8767500
8767500	8942966
5353461	604734
5353461	4151395
5353461	5597718
5353461	5353461
10460782	423926
1575548	7137636
1575548	1179925
9011045	10953776
9011045	10455493
9011045	5154274
8815081	349130
4164526	5154274
1179925	1179925
4186749	4186749
7701969	7137636
1670694	604734
8315741	5597718
8315741	5154274
1783398	10651567
7348519	4892874
6721603	6901690
1727392	5298937
1727392	5597718
3929490	9758922
2737131	4280242
1477917	8661871
2084944	2084944
7075360	3293881
4345719	5786339
4345719	4345719
8650391	8841057
11114048	8346078
9361586	3038791
4613543	1714410
9665421	9665421
11096059	604734
11096059	7699696
8279690	604734
797880	1951176
797880	1091722
797880	6438779
3705055	8563649
3705055	5974433
3705055	880783
9222818	7904315
913098	6210807
7928487	1531463
9781660	1714410
7017670	826983
7017670	6276241
8244858	8143158
2801506	349130
2801506	9619186
6382445	10651567
6382445	8942966
5468985	5825953
6191385	956730
5148990	2097240
6083655	2641587
2706419	9280994
2706419	7770781
416206	10263280
588855	7896849
8511957	8208006
588855	10325051
9486067	4713386
10858691	7141506
11015343	10921263
5495381	2891324
user9778234	10989396
10287557	10921263
4345719	2641587
6728052	4280242
713042	5495381
9494790	9494790
1562773	5352399
588855	4785185
4400634	121687
4400634	6838049
10971017	5495381
7124707	5974433
3987085	1803124
7959545	6347629
3551700	992489
7474000	7474000
7474000	2097240
3424990	1650630
3424990	10921263
6288172	1519264
3747801	2097240
3747801	3747801
3747801	3831845
4728177	9758922
5008823	1548326
7908461	9014655
7908461	6940428
2956066	2701950
610569	2956066
5250620	3114434
5250620	5250620
5250620	7806129
5250620	2956066
5250620	2701950
5352399	2956066
4880918	2099607
10858691	349130
4728650	4728650
10323453	9984948
5476969	5496463
5476969	825707
5476969	3103059
1568741	1462770
779837	9277245
1273987	5763590
1866775	1782792
8279690	1714410
10873178	4280242
10873178	3767239
8814209	5516760
8814209	5353461
7490161	2099607
9984948	4685471
8874373	4139024
8874373	207661
7553189	7137636
7553189	10049949
8857724	2042297
348637	2099607
7855502	2097240
10853569	1462770
8386115	1097517
8386115	2237916
470184	3236925
7241796	2099607
604734	604734
7984318	9280994
7984318	2097240
7984318	2398444
7984318	2097240
7547722	521776
7770327	6246880
7770327	9905470
3293726	7483494
10569558	user9477964
10569558	3607203
2938494	4280242
6657314	2891324
3238085	3238085
7241796	2099607
10763046	10353642
7632928	3574081
5550546	2658050
10799089	10799089
5145237	2099607
6096869	6096869
7726284	712995
673592	712995
8386115	2891324
1179925	4282745
552231	5140223
10730211	2097240
1495935	1495935
6252787	2429640
7865134	7691129
7483494	4280242
8928144	811921
5190014	5974433
5190014	5307226
1538049	2891324
4398309	4280242
10766737	3236925
8834241	2991872
9999715	8180401
9999715	5884955
2701950	2097240
10227526	3214872
9181865	9181865
10751270	4995844
1179925	2097240
10746494	9412325
6304774	3813674
6304774	3994824
10716074	7141506
6491276	349130
9142137	4592059
6115356	5352399
8804960	1714410
8804960	5353461
4847250	10718989
4847250	2398444
6640916	5171213
7677894	7483494
4986593	6280540
5378310	3009130
6477475	7119965
6477475	2956066
9633432	9049053
1179925	1269942
7985466	497600
9044381	3250829
5321842	3994824
7503252	1782792
6411159	8593338
4566277	2099607
5056575	2217210
5056575	3076183
5825952	5543198
5825952	419116
5825952	1735003
5794690	5115602
5845276	5845276
7483494	130288
4438957	1586200
2247040	5359882
2576839	5359882
4333609	5359882
4333609	3994824
5495304	5495304
5796133	user9477964
7571462	10025506
10625599	1714410
2518644	349130
2518644	5324310
8916723	8916723
9408163	10051167
9408163	10051167
7403989	691733
7896849	1953800
7896849	10491777
6384539	349130
67405	349130
67405	9619186
4896087	102441
4896087	4137497
10409299	349130
6619344	3994824
6619344	4954882
6619344	6619344
4829349	349130
7625017	10288309
