userId	displayName	ProfileLink	Rank1ARN	Rank2ABAN	Rank3CBEN	Rank4VBEN	Rank5VBEN2
712995			0.037600483001217926	0.05358943556090389	0.03300014061768708	0.029250027663345547	0.045421362194668594
3990607			0.02470799499575576	0.026190475870829948			0.045643153526970945
6185403			0.01809359917638868	0.019183982666373934			0.02524208245575517
604734			0.013763780720269816	0.017234042553158944	0.04902931584839423	0.05025921549982726	0.02392427018181765
1531463			0.013763780720269816	0.014591991333186964			
2097240			0.013763780720269816	0.014591991333186964	0.027657082207451337	0.029250027663345564	0.020662255882227795
5974433			0.01224760013240649	0.014591991333186964		0.023467077787752227	0.019199988596298633
1446289			0.012247600132406486	0.014591991333186964			
5171213			0.012247600132406486				
1581390			0.009433962264150943				
2956066				0.014591991333186964	0.016970965386979908		
349130				0.014591991333186964			0.019199988596298637
5353461					0.05437237425862991	0.05726227811198786	
3994228					0.027657082207451337		
6547495					0.027657082207451337	0.02224696505118496	
9582060					0.027657082207451337	0.029250027663345543	
9390702					0.027657082207451337	0.03625309027550613	
2628369					0.016970965386979908		
624547						0.027051969022127476	
4254425						0.02224696505118496	
4229637							0.019521226262843562
4118039							0.019199988596298637
4088201							0.017316938263200438
