user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
11407568	registered	Joshua Clancy	11.0	https://stackoverflow.com/users/11407568/joshua-clancy	https://lh3.googleusercontent.com/-HcXnav39X90/AAAAAAAAAAI/AAAAAAAAABE/wUXsZXJrQtE/photo.jpg?sz=128	2	0	0	0	0	0	0	
9364931	registered	michael0196	627.0	https://stackoverflow.com/users/9364931/michael0196	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	3	1	2	0	0	1	3	0.3333333333333333
8318321	registered	Umair Hanif	27.0	https://stackoverflow.com/users/8318321/umair-hanif	https://www.gravatar.com/avatar/7f0a27ffa9abafcfd3da5b0efe691621?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
11657900	registered	Gaurav Jain	9.0	https://stackoverflow.com/users/11657900/gaurav-jain	https://graph.facebook.com/2114813815295953/picture?type=large	1	0	0	0	0	0	0	
10874181	registered	Prateek Mehta	1.0	https://stackoverflow.com/users/10874181/prateek-mehta	https://lh3.googleusercontent.com/-Bfn7nxa2MYQ/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcbVopAE13Xv0ZIxxRbDVO7wSq_wmg/mo/photo.jpg?sz=128	1	0	0	0	0	0	0	
7759152	registered	Yingqiang Gao	362.0	https://stackoverflow.com/users/7759152/yingqiang-gao	https://graph.facebook.com/391907314517682/picture?type=large	2	0	1	0	0	0	0	
6914009	registered	Mieszko 	19.0	https://stackoverflow.com/users/6914009/mieszko	https://www.gravatar.com/avatar/aa629957e456f24633c119a94d4a1882?s=128&d=identicon&r=PG&f=1	1	1	1	1	0	0	0	
1651268	registered	Emile Beukes	333.0	https://stackoverflow.com/users/1651268/emile-beukes	https://i.stack.imgur.com/HqIqj.png?s=128&g=1	1	0	1	0	0	0	0	
7561952	registered	OneManArmy	41.0	https://stackoverflow.com/users/7561952/onemanarmy	https://www.gravatar.com/avatar/e34a4ce06b98d69088eb50c541b89246?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
3878377	registered	user59419	307.0	https://stackoverflow.com/users/3878377/user59419	https://www.gravatar.com/avatar/a610c00c38c31d80b6d24b8d62a93284?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
11210924	registered	moon	180.0	https://stackoverflow.com/users/11210924/moon	https://lh3.googleusercontent.com/-yCHWFtFKjr0/AAAAAAAAAAI/AAAAAAAAVXQ/Y3pUziI5oqc/photo.jpg?sz=128	2	2	1	0	0	0	0	
10452700	registered	Mario	633.0	https://stackoverflow.com/users/10452700/mario	https://graph.facebook.com/2172245999723325/picture?type=large	3	0	1	0	0	0	0	
8315741	registered	JChat	430.0	https://stackoverflow.com/users/8315741/jchat	https://www.gravatar.com/avatar/7deba1e42705efcdb2636a66373806d7?s=128&d=identicon&r=PG&f=1	3	0	1	0	0	0	0	
11585076	registered	FatJuicyBoi	3.0	https://stackoverflow.com/users/11585076/fatjuicyboi	https://www.gravatar.com/avatar/a98f471fc6e462d75e02deee0186cbfd?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
6418215	registered	Pratheek Balakrishna	13.0	https://stackoverflow.com/users/6418215/pratheek-balakrishna	https://i.stack.imgur.com/1vM3I.jpg?s=128&g=1	1	0	1	0	0	0	0	
11706759	registered	Unez Kazi	1.0	https://stackoverflow.com/users/11706759/unez-kazi	https://lh3.googleusercontent.com/-R3aR5GzHOKo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdlKAdfwzQAWNMVVtJCtjk5h0rkzQ/photo.jpg?sz=128	1	0	0	0	0	0	0	
4882698	registered	samvoit4	45.0	https://stackoverflow.com/users/4882698/samvoit4	https://www.gravatar.com/avatar/6129d0dd962225cf621612315a76710f?s=128&d=identicon&r=PG&f=1	1	1	0	0	0	0	6	0.0
3042444	registered	Faizan Ali	591.0	https://stackoverflow.com/users/3042444/faizan-ali	https://graph.facebook.com/1362461156/picture?type=large	3	0	0	0	0	0	0	
11703492	registered	A.U.	13.0	https://stackoverflow.com/users/11703492/a-u	https://www.gravatar.com/avatar/32ef54fd6c472dc999cb0495542a7c59?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
11654850	registered	Waffo Alg	3.0	https://stackoverflow.com/users/11654850/waffo-alg	https://lh4.googleusercontent.com/-Lju9vfE0yfk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcSt2wiRinckpFZ2tUbEB1vhJ_ceA/mo/photo.jpg?sz=128	1	0	1	0	0	0	0	
6185403	registered	user121	685.0	https://stackoverflow.com/users/6185403/user121	https://www.gravatar.com/avatar/4489398bcbc2f5a651d6f2ca69a0fc4e?s=128&d=identicon&r=PG&f=1	9	0	8	0	0	0	0	
3846213	registered	Eli Korvigo	7376.0	https://stackoverflow.com/users/3846213/eli-korvigo	https://i.stack.imgur.com/5PGh1.jpg?s=128&g=1	1	1	1	1	1	5	5	1.0
3141923	registered	Hafez	37.0	https://stackoverflow.com/users/3141923/hafez	https://www.gravatar.com/avatar/8542b287606f7072b9951ee6e04f22a6?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
10587171	registered	Jing	146.0	https://stackoverflow.com/users/10587171/jing	https://i.stack.imgur.com/BFrTS.jpg?s=128&g=1	1	0	0	0	0	0	0	
11670761	registered	Mach.	21.0	https://stackoverflow.com/users/11670761/mach	https://www.gravatar.com/avatar/4aea41c03e9bc5678ef064638f8d1f12?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
8521923	registered	Peanut14	113.0	https://stackoverflow.com/users/8521923/peanut14	https://www.gravatar.com/avatar/498294ce917f0884896e14be71b8e504?s=128&d=identicon&r=PG	1	0	0	0	0	0	0	
9825861	registered	fsymao	1.0	https://stackoverflow.com/users/9825861/fsymao	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	1	0	0	0	0	0	0	
5807031	registered	LingxB	287.0	https://stackoverflow.com/users/5807031/lingxb	https://www.gravatar.com/avatar/daae65854122b0108190fd63ba0cbe74?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
5536887	registered	lmartens	1072.0	https://stackoverflow.com/users/5536887/lmartens	https://www.gravatar.com/avatar/ccf33a3bd04aa3147b5d935a95f9e10d?s=128&d=identicon&r=PG&f=1	0	3	0	3	3	17	21	0.8095238095238095
11696854	registered	Boston_market	3.0	https://stackoverflow.com/users/11696854/boston-market	https://www.gravatar.com/avatar/c6d964d1a82fff0971663373d28721fe?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
10234830	registered	J. Ali	13.0	https://stackoverflow.com/users/10234830/j-ali	https://www.gravatar.com/avatar/54d76b3476c4c312b6bcbc180e4d963a?s=128&d=identicon&r=PG&f=1	2	0	2	0	0	0	0	
11391810	registered	Daniel Afrimi	21.0	https://stackoverflow.com/users/11391810/daniel-afrimi	https://lh3.googleusercontent.com/-xlq-QFxPk70/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rd-Fmo7qXEv80emSXIG6a3QxU7cDg/mo/photo.jpg?sz=128	1	0	0	0	0	0	0	
282855	registered	talha06	3998.0	https://stackoverflow.com/users/282855/talha06	https://i.stack.imgur.com/I4dgE.jpg?s=128&g=1	1	0	1	0	0	0	0	
7214344	registered	Miriam Farber	13134.0	https://stackoverflow.com/users/7214344/miriam-farber	https://www.gravatar.com/avatar/09fedcad60ad0dba2834ffffdd52f686?s=128&d=identicon&r=PG&f=1	2	8	2	5	7	22	30	0.7333333333333333
3747765	registered	Ale152	121.0	https://stackoverflow.com/users/3747765/ale152	https://www.gravatar.com/avatar/4b6ef0fd06422a433652231d4622b838?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
11202128	registered	BK101	81.0	https://stackoverflow.com/users/11202128/bk101	https://www.gravatar.com/avatar/836157638f2a8b5149cbd00d262f6690?s=128&d=identicon&r=PG&f=1	1	1	1	1	1	6	7	0.8571428571428571
3033705	registered	user3033705	11.0	https://stackoverflow.com/users/3033705/user3033705	https://www.gravatar.com/avatar/811a211c066d3f8e65f70419437f1465?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
7696235	registered	Alexandru Bodea	11.0	https://stackoverflow.com/users/7696235/alexandru-bodea	https://lh6.googleusercontent.com/-NPnXwqW4Fkk/AAAAAAAAAAI/AAAAAAAAAEg/x-_IrR1H4FY/photo.jpg?sz=128	1	0	0	0	0	0	0	
11693929	registered	Sam123	21.0	https://stackoverflow.com/users/11693929/sam123	https://www.gravatar.com/avatar/95d5002c7b427e70e0a9df1d3c2aa95b?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
9893826	registered	Dawson Eliasen	1.0	https://stackoverflow.com/users/9893826/dawson-eliasen	https://lh6.googleusercontent.com/-cEPmXIc4Ouk/AAAAAAAAAAI/AAAAAAAAAEI/c2Ovyd1YTQU/photo.jpg?sz=128	1	0	0	0	0	0	0	
9749306	registered	james	93.0	https://stackoverflow.com/users/9749306/james	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	3	0	2	0	0	0	0	
11651856	registered	oremountainsDD	1.0	https://stackoverflow.com/users/11651856/oremountainsdd	https://www.gravatar.com/avatar/db26913b0e78e1cbef6d59d5f209c093?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
3832803	registered	puyayavari	11.0	https://stackoverflow.com/users/3832803/puyayavari	https://i.stack.imgur.com/p4WVP.gif?s=128&g=1	1	0	0	0	0	0	0	
3041068	registered	dontloo	4860.0	https://stackoverflow.com/users/3041068/dontloo	https://i.stack.imgur.com/TQCnA.jpg?s=128&g=1	0	2	0	1	1	165	279	0.5913978494623656
2701950	registered	Jadiel de Armas	4730.0	https://stackoverflow.com/users/2701950/jadiel-de-armas	https://www.gravatar.com/avatar/a3d89317f2698bf452325a67db8d3dd9?s=128&d=identicon&r=PG&f=1	1	4	1	1	1	106	343	0.3090379008746356
11684246	registered	Subhankar Choudhury	1.0	https://stackoverflow.com/users/11684246/subhankar-choudhury	https://lh6.googleusercontent.com/-3VjFPT-IymY/AAAAAAAAAAI/AAAAAAAADuM/dCCgyGSfR-U/photo.jpg?sz=128	1	0	0	0	0	0	0	
7295767	registered	LL_	73.0	https://stackoverflow.com/users/7295767/ll	https://www.gravatar.com/avatar/38158ef5437269046a7244d5c7352068?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
