user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
12247702	registered	moe9195	1	https://stackoverflow.com/users/12247702/moe9195	https://www.gravatar.com/avatar/ade05df0b7bbb89027493642a9ce571b?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
7362261	registered	Cs20	1326	https://stackoverflow.com/users/7362261/cs20	https://www.gravatar.com/avatar/f9add4c8f6881d1b2b9bd2068eccde68?s=128&d=identicon&r=PG&f=1	1	3	1	1	1	6	11	0.5454545454545454
10504087	registered	H. Can	39	https://stackoverflow.com/users/10504087/h-can	https://www.gravatar.com/avatar/683ba073176bc2d9a958379ca41c5520?s=128&d=identicon&r=PG&f=1	2	0	0	0	0	0	0	
3551700	registered	Primoz	835	https://stackoverflow.com/users/3551700/primoz	https://graph.facebook.com/1114701970/picture?type=large	3	1	2	1	1	2	3	0.6666666666666666
5825953	registered	Mitiku	3056	https://stackoverflow.com/users/5825953/mitiku	https://i.stack.imgur.com/03iIr.png?s=128&g=1	0	12	0	8	6	14	16	0.875
12171716	registered	spike32	1	https://stackoverflow.com/users/12171716/spike32	https://lh4.googleusercontent.com/-igP8jcq8E6o/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdFdgH_px2wC-0eA1X6wKimvffQBw/photo.jpg?sz=128	2	0	0	0	0	0	0	
11233910	registered	Jinter	1	https://stackoverflow.com/users/11233910/jinter	https://i.stack.imgur.com/7rVTl.jpg?s=128&g=1	1	0	0	0	0	0	0	
7827738	registered	Yue Zhao	26	https://stackoverflow.com/users/7827738/yue-zhao	https://i.stack.imgur.com/bfhB9.png?s=128&g=1	0	1	0	0	0	0	0	
11584728	registered	Shahrear Bin Amin	215	https://stackoverflow.com/users/11584728/shahrear-bin-amin	https://lh6.googleusercontent.com/-MgIycEljFfM/AAAAAAAAAAI/AAAAAAAAAIg/OP_6tS9Sg-g/photo.jpg?sz=128	2	0	1	0	0	0	0	
12137797	registered	Kojimba	21	https://stackoverflow.com/users/12137797/kojimba	https://www.gravatar.com/avatar/9214a05ca35a7e4791c17e04621336c1?s=128&d=identicon&r=PG&f=1	3	0	2	0	0	0	0	
7962397	registered	klirfa	36	https://stackoverflow.com/users/7962397/klirfa	https://www.gravatar.com/avatar/9cd73485962014d08a2ad6e0fdb71c72?s=128&d=identicon&r=PG&f=1	0	1	0	0	1	1	1	1.0
10807103	registered	Shahbaz Shah Syed	5	https://stackoverflow.com/users/10807103/shahbaz-shah-syed	https://lh6.googleusercontent.com/-qo2zq0yjmGc/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcaR67KQiRfc74ts6gQcSby1EctkMA/mo/photo.jpg?sz=128	1	0	1	0	0	0	0	
6807211	registered	jingweimo	2620	https://stackoverflow.com/users/6807211/jingweimo	https://www.gravatar.com/avatar/3b4e615f42b0a0880467650ae5e229c7?s=128&d=identicon&r=PG&f=1	2	0	2	0	0	0	0	
4457749	registered	AEndrs	694	https://stackoverflow.com/users/4457749/aendrs	https://lh4.googleusercontent.com/-pfEQgGHRoJk/AAAAAAAAAAI/AAAAAAAAAAA/LqUam87obSE/photo.jpg?sz=128	0	1	0	1	1	46	80	0.575
8068733	registered	Ashok Kumar Jayaraman	1395	https://stackoverflow.com/users/8068733/ashok-kumar-jayaraman	https://graph.facebook.com/951541691615642/picture?type=large	0	2	0	0	0	19	217	0.08755760368663594
6786718	registered	Kev1n91	2468	https://stackoverflow.com/users/6786718/kev1n91	https://i.stack.imgur.com/l8z29.png?s=128&g=1	4	4	4	3	3	10	86	0.11627906976744186
852795	registered	Mark Cramer	1496	https://stackoverflow.com/users/852795/mark-cramer	https://i.stack.imgur.com/FRtdy.jpg?s=128&g=1	0	1	0	0	0	0	80	0.0
6630397	registered	s.k	705	https://stackoverflow.com/users/6630397/s-k	https://i.stack.imgur.com/HbAYT.png?s=128&g=1	0	1	0	0	0	7	80	0.0875
11761580	registered	delyeet	80	https://stackoverflow.com/users/11761580/delyeet	https://www.gravatar.com/avatar/7a33fa7e653484f659fa8567bf7f545d?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
10844823	registered	Sergy Stepura	3	https://stackoverflow.com/users/10844823/sergy-stepura	https://www.gravatar.com/avatar/113a659928038bbeccae3b7a168d0142?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
9008599	registered	creative_sh	79	https://stackoverflow.com/users/9008599/creative-sh	https://www.gravatar.com/avatar/beeccd2d033f7cd60d64e8b598af74b2?s=128&d=identicon&r=PG&f=1	5	1	5	1	0	0	0	
3353760	registered	Ekaba Bisong	1981	https://stackoverflow.com/users/3353760/ekaba-bisong	https://i.stack.imgur.com/X8jK8.png?s=128&g=1	0	3	0	0	0	0	3	0.0
2628369	registered	Kilian Batzner	3455	https://stackoverflow.com/users/2628369/kilian-batzner	https://i.stack.imgur.com/eQR89.jpg?s=128&g=1	0	4	0	2	3	11	17	0.6470588235294118
1115237	registered	Shlomi Schwartz	11897	https://stackoverflow.com/users/1115237/shlomi-schwartz	https://www.gravatar.com/avatar/a5b371929b9ddad5e22fc6997e5aab49?s=128&d=identicon&r=PG	5	0	5	0	0	0	0	
11726179	registered	yupthatsme	29	https://stackoverflow.com/users/11726179/yupthatsme	https://www.gravatar.com/avatar/fb917e8d6d9f9895d61f4d97168ae88f?s=128&d=identicon&r=PG&f=1	2	0	0	0	0	0	0	
12235325	registered	cgahh12	36	https://stackoverflow.com/users/12235325/cgahh12	https://lh5.googleusercontent.com/-sGjG61dZHM4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdfeBv1iBjZPUQ_hHrzYs8Ku5tEyg/photo.jpg?sz=128	1	0	0	0	0	0	0	
6363033	registered	megan adams	145	https://stackoverflow.com/users/6363033/megan-adams	https://www.gravatar.com/avatar/9c4c9754d08a38a1312b2bbf97475a73?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
7806129	registered	saetch_g	589	https://stackoverflow.com/users/7806129/saetch-g	https://www.gravatar.com/avatar/b71741d2fde7ea2ed47b1541b5325440?s=128&d=identicon&r=PG&f=1	0	3	0	0	1	33	114	0.2894736842105263
12051039	registered	Beneblau	31	https://stackoverflow.com/users/12051039/beneblau	https://www.gravatar.com/avatar/7bba84fddcf0d04538e2350ea3e76a23?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
10614373	registered	Trollsors	466	https://stackoverflow.com/users/10614373/trollsors	https://i.stack.imgur.com/PNFbw.jpg?s=128&g=1	0	2	0	0	1	1	1	1.0
5418873	registered	Sandy s	11	https://stackoverflow.com/users/5418873/sandy-s	https://lh5.googleusercontent.com/-a0BNjhTj5sQ/AAAAAAAAAAI/AAAAAAAACsY/AVQHKNlMXIU/photo.jpg?sz=128	0	1	0	0	0	0	0	
5510668	registered	Muhaimie Mazlah Hussain Ischma	1	https://stackoverflow.com/users/5510668/muhaimie-mazlah-hussain-ischma	https://graph.facebook.com/981760108555299/picture?type=large	1	0	0	0	0	0	0	
9878488	registered	Adrian yo	13	https://stackoverflow.com/users/9878488/adrian-yo	https://www.gravatar.com/avatar/d3823c5d0e91a644f2e19a3d78388f16?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
11283404	registered	Ajay Patel	1	https://stackoverflow.com/users/11283404/ajay-patel	https://lh5.googleusercontent.com/-GljDV6wBZH8/AAAAAAAAAAI/AAAAAAAAAKM/f3x3gn-E8W4/photo.jpg?sz=128	1	0	0	0	0	0	0	
271415	registered	jarmod	28077	https://stackoverflow.com/users/271415/jarmod	https://www.gravatar.com/avatar/8648256cc53b261c5e1d266380a256fc?s=128&d=identicon&r=PG	0	1	0	0	0	0	0	
3667569	registered	silent_dev	1237	https://stackoverflow.com/users/3667569/silent-dev	https://www.gravatar.com/avatar/274318a489656de62948114f2380fd4d?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
1536437	registered	Amw 5G	549	https://stackoverflow.com/users/1536437/amw-5g	https://www.gravatar.com/avatar/c1f56505915b6e945224f40186b4bce4?s=128&d=identicon&r=PG	1	0	1	0	0	0	0	
5155533	registered	Allhell Looz	53	https://stackoverflow.com/users/5155533/allhell-looz	https://www.gravatar.com/avatar/facab79928caf776013b29e4df615507?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
4451856	registered	a&#39;-	231	https://stackoverflow.com/users/4451856/a	https://www.gravatar.com/avatar/4d8415b6d02cac49b54ba05e283b66fe?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
2219766	registered	William Collishaw	53	https://stackoverflow.com/users/2219766/william-collishaw	https://www.gravatar.com/avatar/0dde0f6db30e81f78292e3c1b5ccd62e?s=128&d=identicon&r=PG	0	1	0	0	0	0	10	0.0
11695102	registered	NoLand&#39;sMan	247	https://stackoverflow.com/users/11695102/nolandsman	https://www.gravatar.com/avatar/a5678352cc962a194c1fcc9aa5eff5b0?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
4509378	registered	Peter Lawrence	461	https://stackoverflow.com/users/4509378/peter-lawrence	https://www.gravatar.com/avatar/e0975a780764a13dc74919628a08f906?s=128&d=identicon&r=PG&f=1	2	0	2	0	0	0	0	
7443104	registered	Patwie	3501	https://stackoverflow.com/users/7443104/patwie	https://www.gravatar.com/avatar/599eeedbaf5a966b46ef5b5784741b8c?s=128&d=identicon&r=PG	0	6	0	0	1	2	4	0.5
5027916	registered	phoenixwing	267	https://stackoverflow.com/users/5027916/phoenixwing	https://www.gravatar.com/avatar/2f93fe875d973bd955b7cd8cfe0c38d2?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
2182857	registered	user2182857	443	https://stackoverflow.com/users/2182857/user2182857	https://www.gravatar.com/avatar/982563165be9ffbc63a1a714ceb036f4?s=128&d=identicon&r=PG	3	0	2	0	0	0	0	
4319301	registered	Luis Sobrecueva	450	https://stackoverflow.com/users/4319301/luis-sobrecueva	https://www.gravatar.com/avatar/426c8ff5577e62e762b8226f8884f9b4?s=128&d=identicon&r=PG	0	1	0	0	0	0	2	0.0
5864582	registered	akilat90	2732	https://stackoverflow.com/users/5864582/akilat90	https://i.stack.imgur.com/8MFoQ.png?s=128&g=1	1	0	1	0	0	0	0	
7212365	registered	zihaozhihao	1971	https://stackoverflow.com/users/7212365/zihaozhihao	https://i.stack.imgur.com/FBxLp.png?s=128&g=1	2	5	1	3	4	7	12	0.5833333333333334
588855	registered	Simplicity	35621	https://stackoverflow.com/users/588855/simplicity	https://www.gravatar.com/avatar/5f6a798479cf28587a0fe18224d2a94a?s=128&d=identicon&r=PG&f=1	9	1	6	0	1	2	2	1.0
4406595	registered	thebeancounter	2091	https://stackoverflow.com/users/4406595/thebeancounter	https://www.gravatar.com/avatar/bb7d3f000c7873a2915bb5b037997cdb?s=128&d=identicon&r=PG&f=1	18	2	12	2	0	0	0	
11082319	registered	shjk	45	https://stackoverflow.com/users/11082319/shjk	https://www.gravatar.com/avatar/6405efb2e0212cb0d7a49d78a39a4705?s=128&d=identicon&r=PG&f=1	5	1	4	0	0	0	0	
