from	to
11958437	10781936
11003266	11003266
5659025	998415
5659025	munney57528027
5659025	12506812
8659995	7708172
8659995	6139504
8344913	8344913
10532394	8242447
10532394	9993681
10532394	6328256
6579245	8565438
6579245	8242447
8344913	541038
8344913	8344913
3521179	3521179
623534	4238408
623534	6461882
623534	1054154
9298540	4634344
9298540	10447679
7130689	7130689
7130689	2509621
11987757	7736861
11987757	7303415
5201448	9355594
5201448	12197605
5839007	12127815
5839007	12241219
1768610	10804423
9388142	7456788
650885	D. Taylor Reich54358546
11996332	10671109
11996332	7429447
11996332	12215068
11996332	7074716
4948889	6604502
4948889	12038698
9422637	7469434
9422637	4706171
3758396	4001592
3758396	5704863
3758396	1329504
6651056	7919597
10635033	11651301
8748545	9758354
8748545	6794005
5312695	1606729
5312695	1256930
11584648	3437787
8500516	2402281
8500516	11003083
9678296	10282322
8916091	9161215
10458964	12506066
8916091	1192111
3351772	9869695
3351772	10191971
10288309	1656503
8667423	9209546
8210824	17160
8210824	7434365
8210824	5701085
8210824	3198235
2005490	9475713
900078	5249307
900078	812183
1436508	1714410
1436508	109618
1436508	9385203
11803025	10511518
9195200	8044326
9195200	11346795
10396288	3208297
11153529	1179880
7605543	167813
7605543	7605543
7511070	7511070
7511070	7820044
7511070	1802510
3699166	1077364
11465606	1252711
11465606	10731283
10123697	7326738
10123697	10038165
10123697	6149357
10123697	9142590
2256986	7011287
2256986	10700322
3366418	10791730
3366418	10858457
3366418	1701416
3366418	6272956
3366418	6210807
3366418	10820672
3366418	10500330
3366418	11002096
3366418	9582871
3366418	9228901
3366418	8928244
11048534	2488240
11048534	4390160
11048534	1342257
1298483	2180547
365837	4558344
10913900	12013075
8413792	532312
8413792	6084948
8413792	11942178
8480169	10666040
11675818	7432
6096906	4358680
6096906	8697791
6096906	6226318
9396269	2858170
9396269	9360135
7396613	4085591
7396613	3869724
7396613	5014455
11952393	7613340
10611983	2357112
10611983	11883248
11380268	12500719
1768141	624831
1768141	8031479
1768141	1175948
1768141	254103
1727392	1727392
1727392	945871
1727392	6183502
1727392	10732120
6256711	838117
6256711	838117
6256711	4066787
10480609	9973881
10480609	10709135
3620936	Martijn Pieters49851776
6688801	10475068
6688801	2850957
11406139	446106
11406139	11406139
1581390	1581390
1581390	6633975
1581390	6835092
1581390	11044933
1581390	2719377
4782060	2292767
4782060	12023727
5161420	5666087
8804904	10587171
8804904	6155733
8804904	9999520
6081276	2116766
9516820	4763058
9516820	8851422
8334261	1107768
7679441	3893015
4704607	9626903
9817941	3804047
4796963	5003756
4796963	8255456
4796963	12501496
11461382	4901345
7235253	9313033
7235253	7235253
6457747	6457747
9550345	4383396
9550345	5858851
9550345	4785185
9550345	8990261
9550345	12290158
9550345	12199369
6925077	4466962
6925077	11541027
8075923	8075923
8456120	2717128
7632019	499581
7632019	6749125
7632019	1616036
8191652	8016168
8191652	12245051
10602175	187421
2252530	7900722
2252530	3785966
459888	3926
459888	6942134
2148718	2069071
2148718	1600898
2890590	2857135
user9375916	10103754
user9375916	3762316
user9375916	7735255
user9375916	6582677
user9375916	12186436
11287992	11162165
11287992	8837661
11105371	7137568
11105371	6220759
11105371	10329183
11105371	12393035
11105371	11220780
9461974	10020360
4390183	9926721
5383389	5048815
355230	12010744
355230	355230
355230	108205
10100958	11911766
10100958	1513933
10750522	10750805
10750522	10748501
10750522	8931089
10750522	6519334
10750522	9476653
10750522	10580958
10750522	9666550
10750522	5671926
10750522	9295300
10750522	8467946
10750522	5858260
10750522	7658051
10750522	6306375
10750522	4987005
10750522	11408389
10750522	Hritik kumar53637182
10750522	10871278
10750522	10086634
10750522	9925236
10750522	10016058
10750522	12025373
10750522	12052469
10750522	5328951
10750522	9109799
10750522	4502537
10750522	10448129
10750522	6701196
9368056	10883094
9368056	9926721
10232400	11316169
10232400	5355429
10232400	Sorena52050860
6591693	6562491
9141320	10708483
9141320	9905699
9015771	8841057
9015771	499194
9015771	10864241
9015771	10129631
5733842	4124317
2641587	10938273
2641587	7981832
6479070	7981832
10446619	10061482
10446619	3397819
10446619	1609925
10446619	254436
2355259	1380994
2355259	6714013
11676116	6191255
4439019	7521600
4439019	444036
4439019	2365534
4439019	5178905
4439019	2336654
6340816	2650249
6340816	5042136
10347288	1462770
10347288	6672746
5516923	8701024
5516923	5932923
6543779	3603051
6543779	3978666
6543779	4753321
10641990	10779528
1552260	6415268
1552260	7432
1552260	12415986
10628833	10628833
10628833	8404743
5355343	6243352
5355343	6671176
5355343	3487040
5355343	10708483
1920550	1920550
7694555	5577765
1326969	2654002
1326969	263858
5577765	5577765
1987469	10344337
1987469	11117944
8517676	11123771
5210052	5082048
8270077	1356000
9770346	11596014
5110870	5741205
5110870	4909087
5110870	7964527
5110870	3344221
9933449	8921612
9933449	4168707
9933449	4170356
9541464	7037437
9541464	8065970
7704482	9698518
6918378	11596014
11007910	874188
4885154	4124317
4885154	9603571
4885154	9586134
4885154	3952030
4885154	3020051
4885154	11154841
9985647	2773979
9985647	8645590
9985647	12493460
900749	900749
900749	7840442
1436150	3020057
1436150	3722257
6242883	4932316
6242883	12183223
9664625	3005167
9664625	1487355
6903399	5079316
6903399	6064933
1863841	2223459
10018714	104349
6297869	1112586
7811624	7811624
10280951	10666040
11057120	8147165
11057120	11057120
3225420	10924296
3225420	9917504
3225420	7974398
12009881	12018177
12009881	12009881
6937237	2336654
6826664	4909087
6826664	2336654
62539	3379489
62539	1277977
62539	674641
9291766	3902974
9291766	5042169
8028924	634627
273637	273637
273637	1608062
1511332	8198946
6299756	7384740
6299756	5391248
821275	8172933
821275	3657919
821275	769308
4942590	4942590
4942590	1586947
4942590	3265828
7974847	12072431
7974847	1831686
8383850	244297
8383850	5609328
8383850	8472377
8383850	5270581
8383850	3577783
8383850	9209546
9440493	3483203
9440493	9209546
11445696	6419115
11445696	8648876
11445696	11848307
10880333	2161778
10880333	10880333
10880333	12086305
8006728	7814637
8006728	3626138
877192	8701024
9327153	3437787
1977620	1977620
1977620	2134991
1977620	20862
1000974	8581827
1000974	39123
10318362	4213630
10318362	3592827
10318362	10368811
10318362	7887458
10901600	7718577
10799544	5200329
10799544	2394952
5249411	2216021
5249411	11983252
3437787	11227781
10038884	298607
3180386	2336654
3180386	3483203
3180386	7964527
3180386	3704368
3180386	3180386
1798869	9368839
11755549	10876117
11755549	11760405
5941726	9307263
5941726	9209546
5941726	9215014
2467772	1190882
8776627	1487355
8776627	12492512
3225420	8557916
7294253	4170356
3680098	5555052
3680098	1055279
3680098	2025949
3680098	12491741
9468014	2099607
10765553	5320906
10765553	12492206
1352932	7540322
11155419	4350650
11155419	11477031
11155419	2901002
10104837	3432120
6244166	4373898
6244166	11374349
6244166	3134944
6244166	1091141
2166823	2166823
9982398	9065083
11586490	11948346
1485877	815724
135862	92542
51167	8233556
51167	12491892
5024768	2610004
2172260	7810090
2172260	5659966
9530105	9530105
2518484	10355465
2518484	2836621
4049762	2901002
4049762	7454639
4049762	12491510
557697	2874583
557697	1329296
557697	636626
11039234	12451727
3608247	2506522
3608247	10455094
5830890	5830890
3259896	3259896
9142137	458214
9142137	ShuehCheng Hu53581023
9142137	10843558
9142137	5581699
9142137	12491029
3895259	3895259
3895259	4478977
3895259	9517224
11236759	5592286
9941092	8373158
8967121	962190
6541950	7203433
6541950	3896283
2439376	4223199
9553450	9209546
9553450	5695018
7290715	2008193
4365003	9503381
4365003	2804335
10617173	4502035
3739884	8916210
3739884	6700019
10426081	10426081
3167448	1786504
1943192	1617295
1943192	1008596
1943192	6174268
1943192	620672
8005373	7212273
11741571	11451509
11741571	6434566
11741571	8960078
9142772	3261292
9142772	3765905
9142772	7767773
9142772	9589279
3374785	12490127
5245883	7746398
5118368	4582949
5118368	5165343
6364823	6364823
11487779	10414280
11487779	7802254
10997525	3330348
9602229	7120698
7363687	12272336
6583273	8755789
